Id,ActivityHour,Time,Intensity,Steps,Calories,,,,Available features,
1503960366,3/25/2016,18:00:00,11,238,70,,,,,
1503960366,3/25/2016,19:00:00,6,135,62,,,,,
1503960366,3/25/2016,20:00:00,71,2590,171,,,,,
1503960366,3/25/2016,21:00:00,52,2390,164,,,,,
1503960366,3/25/2016,22:00:00,13,151,69,,,,,
1503960366,3/25/2016,23:00:00,7,89,62,,,,,
1503960366,3/26/2016,12:00:00,2,16,53,,,,,
1503960366,3/26/2016,01:00:00,9,179,63,,,,,
1503960366,3/26/2016,02:00:00,0,0,47,,,,,
1503960366,3/26/2016,03:00:00,3,19,51,,,,,
1503960366,3/26/2016,04:00:00,0,0,48,,,,,
1503960366,3/26/2016,05:00:00,0,0,48,,,,,
1503960366,3/26/2016,06:00:00,0,0,48,,,,,
1503960366,3/26/2016,07:00:00,0,0,48,,,,,
1503960366,3/26/2016,08:00:00,0,0,48,,,,,
1503960366,3/26/2016,09:00:00,7,69,58,,,,,
1503960366,3/26/2016,10:00:00,21,394,82,,,,,
1503960366,3/26/2016,11:00:00,8,145,62,,,,,
1503960366,3/26/2016,00:00:00,12,152,69,,,,,
1503960366,3/26/2016,13:00:00,21,393,82,,,,,
1503960366,3/26/2016,14:00:00,15,759,92,,,,,
1503960366,3/26/2016,15:00:00,29,828,103,,,,,
1503960366,3/26/2016,16:00:00,149,5564,304,,,,,
1503960366,3/26/2016,17:00:00,87,3053,197,,,,,
1503960366,3/26/2016,18:00:00,102,3785,226,,,,,
1503960366,3/26/2016,19:00:00,15,323,75,,,,,
1503960366,3/26/2016,20:00:00,14,207,71,,,,,
1503960366,3/26/2016,21:00:00,19,252,76,,,,,
1503960366,3/26/2016,22:00:00,39,785,110,,,,,
1503960366,3/26/2016,23:00:00,23,686,93,,,,,
1503960366,3/27/2016,12:00:00,2,57,52,,,,,
1503960366,3/27/2016,01:00:00,5,121,56,,,,,
1503960366,3/27/2016,02:00:00,0,0,47,,,,,
1503960366,3/27/2016,03:00:00,0,0,48,,,,,
1503960366,3/27/2016,04:00:00,0,0,47,,,,,
1503960366,3/27/2016,05:00:00,0,0,48,,,,,
1503960366,3/27/2016,06:00:00,1,9,49,,,,,
1503960366,3/27/2016,07:00:00,2,8,50,,,,,
1503960366,3/27/2016,08:00:00,0,0,48,,,,,
1503960366,3/27/2016,09:00:00,20,393,81,,,,,
1503960366,3/27/2016,10:00:00,126,5033,299,,,,,
1503960366,3/27/2016,11:00:00,11,321,67,,,,,
1503960366,3/27/2016,00:00:00,5,100,61,,,,,
1503960366,3/27/2016,13:00:00,28,684,96,,,,,
1503960366,3/27/2016,14:00:00,27,652,95,,,,,
1503960366,3/27/2016,15:00:00,9,255,66,,,,,
1503960366,3/27/2016,16:00:00,7,99,61,,,,,
1503960366,3/27/2016,17:00:00,17,214,76,,,,,
1503960366,3/27/2016,18:00:00,28,540,92,,,,,
1503960366,3/27/2016,19:00:00,85,2887,191,,,,,
1503960366,3/27/2016,20:00:00,24,372,84,,,,,
1503960366,3/27/2016,21:00:00,26,461,90,,,,,
1503960366,3/27/2016,22:00:00,15,367,76,,,,,
1503960366,3/27/2016,23:00:00,8,163,63,,,,,
1503960366,3/28/2016,12:00:00,10,152,63,,,,,
1503960366,3/28/2016,01:00:00,1,16,50,,,,,
1503960366,3/28/2016,02:00:00,0,0,47,,,,,
1503960366,3/28/2016,03:00:00,0,0,47,,,,,
1503960366,3/28/2016,04:00:00,0,0,47,,,,,
1503960366,3/28/2016,05:00:00,0,0,47,,,,,
1503960366,3/28/2016,06:00:00,0,0,47,,,,,
1503960366,3/28/2016,07:00:00,0,0,47,,,,,
1503960366,3/28/2016,08:00:00,4,91,55,,,,,
1503960366,3/28/2016,09:00:00,30,1801,140,,,,,
1503960366,3/28/2016,10:00:00,8,209,68,,,,,
1503960366,3/28/2016,11:00:00,10,242,70,,,,,
1503960366,3/28/2016,00:00:00,9,198,69,,,,,
1503960366,3/28/2016,13:00:00,70,3422,207,,,,,
1503960366,3/28/2016,14:00:00,33,1116,105,,,,,
1503960366,3/28/2016,15:00:00,10,281,72,,,,,
1503960366,3/28/2016,16:00:00,10,228,68,,,,,
1503960366,3/28/2016,17:00:00,14,135,71,,,,,
1503960366,3/28/2016,18:00:00,19,252,78,,,,,
1503960366,3/28/2016,19:00:00,90,3298,209,,,,,
1503960366,3/28/2016,20:00:00,18,872,99,,,,,
1503960366,3/28/2016,21:00:00,7,81,62,,,,,
1503960366,3/28/2016,22:00:00,12,196,69,,,,,
1503960366,3/28/2016,23:00:00,26,641,94,,,,,
1503960366,3/29/2016,12:00:00,0,0,51,,,,,
1503960366,3/29/2016,01:00:00,13,242,68,,,,,
1503960366,3/29/2016,02:00:00,2,15,50,,,,,
1503960366,3/29/2016,03:00:00,0,0,48,,,,,
1503960366,3/29/2016,04:00:00,0,0,47,,,,,
1503960366,3/29/2016,05:00:00,1,6,49,,,,,
1503960366,3/29/2016,06:00:00,1,21,49,,,,,
1503960366,3/29/2016,07:00:00,3,53,52,,,,,
1503960366,3/29/2016,08:00:00,10,185,65,,,,,
1503960366,3/29/2016,09:00:00,32,1580,132,,,,,
1503960366,3/29/2016,10:00:00,17,446,84,,,,,
1503960366,3/29/2016,11:00:00,25,869,102,,,,,
1503960366,3/29/2016,00:00:00,9,147,62,,,,,
1503960366,3/29/2016,13:00:00,39,1158,113,,,,,
1503960366,3/29/2016,14:00:00,5,243,65,,,,,
1503960366,3/29/2016,15:00:00,13,413,79,,,,,
1503960366,3/29/2016,16:00:00,16,348,80,,,,,
1503960366,3/29/2016,17:00:00,12,288,74,,,,,
1503960366,3/29/2016,18:00:00,22,535,90,,,,,
1503960366,3/29/2016,19:00:00,24,198,82,,,,,
1503960366,3/29/2016,20:00:00,97,3559,214,,,,,
1503960366,3/29/2016,21:00:00,19,1034,105,,,,,
1503960366,3/29/2016,22:00:00,0,0,47,,,,,
1503960366,3/29/2016,23:00:00,23,701,79,,,,,
1503960366,3/30/2016,12:00:00,0,0,47,,,,,
1503960366,3/30/2016,01:00:00,0,0,47,,,,,
1503960366,3/30/2016,02:00:00,0,0,47,,,,,
1503960366,3/30/2016,03:00:00,0,0,47,,,,,
1503960366,3/30/2016,04:00:00,0,0,47,,,,,
1503960366,3/30/2016,05:00:00,0,0,47,,,,,
1503960366,3/30/2016,06:00:00,0,0,47,,,,,
1503960366,3/30/2016,07:00:00,0,0,47,,,,,
1503960366,3/30/2016,08:00:00,1,15,49,,,,,
1503960366,3/30/2016,09:00:00,23,1379,117,,,,,
1503960366,3/30/2016,10:00:00,13,233,74,,,,,
1503960366,3/30/2016,11:00:00,12,475,78,,,,,
1503960366,3/30/2016,00:00:00,52,1979,152,,,,,
1503960366,3/30/2016,13:00:00,3,26,59,,,,,
1503960366,3/30/2016,14:00:00,12,443,77,,,,,
1503960366,3/30/2016,15:00:00,12,209,71,,,,,
1503960366,3/30/2016,16:00:00,4,67,62,,,,,
1503960366,3/30/2016,17:00:00,4,35,58,,,,,
1503960366,3/30/2016,18:00:00,72,2696,175,,,,,
1503960366,3/30/2016,19:00:00,38,1299,128,,,,,
1503960366,3/30/2016,20:00:00,45,996,120,,,,,
1503960366,3/30/2016,21:00:00,27,570,94,,,,,
1503960366,3/30/2016,22:00:00,3,38,55,,,,,
1503960366,3/30/2016,23:00:00,18,510,74,,,,,
1503960366,3/31/2016,12:00:00,11,154,65,,,,,
1503960366,3/31/2016,01:00:00,0,0,47,,,,,
1503960366,3/31/2016,02:00:00,7,129,59,,,,,
1503960366,3/31/2016,03:00:00,0,0,48,,,,,
1503960366,3/31/2016,04:00:00,0,0,48,,,,,
1503960366,3/31/2016,05:00:00,0,0,48,,,,,
1503960366,3/31/2016,06:00:00,0,0,47,,,,,
1503960366,3/31/2016,07:00:00,4,34,53,,,,,
1503960366,3/31/2016,08:00:00,8,164,63,,,,,
1503960366,3/31/2016,09:00:00,29,1539,135,,,,,
1503960366,3/31/2016,10:00:00,13,314,76,,,,,
1503960366,3/31/2016,11:00:00,4,119,59,,,,,
1503960366,3/31/2016,00:00:00,13,358,74,,,,,
1503960366,3/31/2016,13:00:00,16,460,79,,,,,
1503960366,3/31/2016,14:00:00,26,796,92,,,,,
1503960366,3/31/2016,15:00:00,25,988,107,,,,,
1503960366,3/31/2016,16:00:00,8,135,65,,,,,
1503960366,3/31/2016,17:00:00,10,145,68,,,,,
